id,title,description,code,script,pre_conditions,post_conditions,invariants
1,"Fibonacci Sequence: Iterative","Return the n-th Fibonacci number using an iterative approach","function fibonacci(n) {\n\tlet a = 0;\n\tlet b = 1;\n\tfor (let i = 0; i < n; i++) {\n\t\t[a, b] = [b, a + b];\n\t}\n\treturn a;\n}","[{""id"":""1"",""speaker"":""Tutor"",""text"":"Show the iterative approach and its complexity."},{""id"":""2"",""speaker"":""Student"",""text"":"It runs in O(n) time and O(1) space."}]","n is a non-negative integer","Returns the correct Fibonacci number for n","For each iteration, the pair (a,b) becomes the next two Fibonacci numbers"
2,"Reverse String","Reverse the characters in a given string","function reverseString(s) {\n\treturn s.split('').reverse().join('');\n}","[{""id"":""1"",""speaker"":""Tutor"",""text"":"What's the simplest way to reverse a string in JS?"},{""id"":""2"",""speaker"":""Student"",""text"":"Split, reverse, join or use two-pointer swap for in-place."}]","Input is a UTF-16 string","Returns the string with characters reversed","If using two-pointer swap, characters outside pointers maintain positions until swapped"
3,"Palindrome Check","Check if a string is a palindrome (ignoring case)","function isPalindrome(s) {\n\tconst t = s.toLowerCase();\n\treturn t === t.split('').reverse().join('');\n}","[{""id"":""1"",""speaker"":""Tutor"",""text"":"How can we check palindrome efficiently?"},{""id"":""2"",""speaker"":""Student"",""text"":"Compare characters from both ends toward center."}]","String may contain letters and digits","Returns true if input reads the same forward and backward","Comparisons are symmetric around the center"
4,"FizzBuzz","Print numbers 1..n but replace multiples of 3 with Fizz, 5 with Buzz, both with FizzBuzz","function fizzBuzz(n) {\n\tconst out = [];\n\tfor (let i = 1; i <= n; i++) {\n\t\tif (i % 15 === 0) out.push('FizzBuzz');\n\t\telse if (i % 3 === 0) out.push('Fizz');\n\t\telse if (i % 5 === 0) out.push('Buzz');\n\t\telse out.push(String(i));\n\t}\n\treturn out;\n}","[{""id"":""1"",""speaker"":""Tutor"",""text"":"What's required for FizzBuzz?"},{""id"":""2"",""speaker"":""Student"",""text"":"Handle multiples of 3, 5 and both (15)."}]","n is integer >= 1","Returns an array of strings representing the sequence","Each position i corresponds deterministically to number i"
5,"Factorial (Recursive)","Compute factorial of n recursively","function factorial(n) {\n\tif (n <= 1) return 1;\n\treturn n * factorial(n - 1);\n}","[{""id"":""1"",""speaker"":""Tutor"",""text"":"What's the base case for factorial recursion?"},{""id"":""2"",""speaker"":""Student"",""text"":"n <= 1 returns 1 to stop recursion."}]","n is a non-negative integer and small enough to avoid stack overflow","Returns n!","Each recursive call reduces n by 1 until base case"
6,"Two Sum","Given array and target, return indices of two numbers that add to target","function twoSum(nums, target) {\n\tconst map = new Map();\n\tfor (let i = 0; i < nums.length; i++) {\n\t\tconst comp = target - nums[i];\n\t\tif (map.has(comp)) return [map.get(comp), i];\n\t\tmap.set(nums[i], i);\n\t}\n\treturn null;\n}","[{""id"":""1"",""speaker"":""Tutor"",""text"":"How to solve Two Sum in O(n)?"},{""id"":""2"",""speaker"":""Student"",""text"":"Use a hash map to lookup complements."}]","Array of integers and a target integer","Returns indices of two numbers summing to target or null","Map stores previously seen values and their indices"
7,"Merge Two Sorted Lists","Merge two sorted arrays into one sorted array","function merge(a, b) {\n\tconst r = [];\n\tlet i = 0;\n\tlet j = 0;\n\twhile (i < a.length && j < b.length) {\n\t\tif (a[i] < b[j]) r.push(a[i++]);\n\t\telse r.push(b[j++]);\n\t}\n\treturn r.concat(a.slice(i)).concat(b.slice(j));\n}","[{""id"":""1"",""speaker"":""Tutor"",""text"":"What's the best way to merge two sorted lists?"},{""id"":""2"",""speaker"":""Student"",""text"":"Two-pointer merge yields O(n+m) time."}]","Inputs are sorted arrays","Returns a single sorted array containing all elements","At each step, the smallest head element is chosen and removed"
8,"Binary Search","Find target index in sorted array or return -1","function binarySearch(arr, target) {\n\tlet l = 0;\n\tlet r = arr.length - 1;\n\twhile (l <= r) {\n\t\tconst m = Math.floor((l + r) / 2);\n\t\tif (arr[m] === target) return m;\n\t\tif (arr[m] < target) l = m + 1;\n\t\telse r = m - 1;\n\t}\n\treturn -1;\n}","[{""id"":""1"",""speaker"":""Tutor"",""text"":"What's the complexity of binary search?"},{""id"":""2"",""speaker"":""Student"",""text"":"O(log n) time on sorted input."}]","Array must be sorted","Returns index of target or -1","Search interval halves each iteration"
9,"Maximum Subarray (Kadane)","Find contiguous subarray with largest sum","function maxSubarray(nums) {\n\tlet maxSoFar = -Infinity;\n\tlet cur = 0;\n\tfor (const x of nums) {\n\t\tcur = Math.max(x, cur + x);\n\t\tmaxSoFar = Math.max(maxSoFar, cur);\n\t}\n\treturn maxSoFar;\n}","[{""id"":""1"",""speaker"":""Tutor"",""text"":"How does Kadane's algorithm work?"},{""id"":""2"",""speaker"":""Student"",""text"":"Keep current best ending here and global best so far."}]","Array of integers (can be negative)","Returns the maximum contiguous subarray sum","Current sum resets when adding a negative prefix reduces it below next element"
10,"Validate Parentheses","Check if parentheses string is a palindrome (matching and properly nested)","function isValid(s) {\n\tconst stack = [];\n\tconst pairs = {')': '(', ']': '[', '}': '{'};\n\tfor (const c of s) {\n\t\tif ('([{'.includes(c)) stack.push(c);\n\t\telse {\n\t\t\tif (stack.pop() !== pairs[c]) return false;\n\t\t}\n\t}\n\treturn stack.length === 0;\n}","[{""id"":""1"",""speaker"":""Tutor"",""text"":"Which data structure should we use?"},{""id"":""2"",""speaker"":""Student"",""text"":"A stack to track opening brackets."}]","String contains only bracket characters","Returns true if brackets are balanced and nested","Stack size increases with opens and decreases with matching closes"